text,label
the director of al awda hospital has told al jazeera that at least three doctors were killed in the attack on the medical facility in northern gaza a number of medical staff were also wounded in the israeli bombing of the premises he said,0
the un agency for palestinian refugees has shared a video testimonial from a woman in gaza s nuseirat refugee camp,0
five palestinians were injured today in assaults by israeli colonists near the villages of deir jarir and taybeh east of ramallah,0
syrian state run news agency sana citing a syrian military source says eight soldiers were killed and another seven were wounded in an overnight israeli airstrike in the daraa area,0
the qataris are the ones that made a significant impact to bring about this agreement it took four weeks of hard work trying to convince the israelis and hamas to make some concessions to get to this point,0
everybody here is aware this war in gaza is far from over speaking to family members yesterday who had relatives released one man told us that he wouldn t be celebrating the release of his son,0
commenting on the bombing of al fakhoura school hamas said in a statement that it would hold israel accountable for the attack and its crimes against children and civilians,0
the israel defense forces idf says its warplanes have struck underground targets overnight as it is expanding ground operations in the gaza strip,1
the world food programme wfp estimates that at the shop level current stocks of essential food commodities will be sufficient for about five more days access to bread is increasingly challenging,0
rocket alerts sound in jerusalem and surroundings areas followed by thuds apparently caused by the interception of at least some of the rockets by the iron dome system magen david adom confirms that there are no reports of impacts in the attack,1
the israeli occupation forces thursday dawn launched a massive arrest campaign among workers in the town of barta a isolated behind the apartheid wall south of jenin,1
pentagon spokesman pat ryder says that approximately us troops are either in or on their way to the middle east but not israel as part of efforts to deter a broader conflict and further bolster us force protection capabilities,0
the israel defense forces releases new footage of fighting in northern gaza as troops push ahead with the ground offensive idf says ground forces continued the offensive in northern gaza overnight,1
the israel defense forces says that since the beginning of israel s ground offensive in the gaza strip around two weeks ago some strikes have been carried out,1
the world health organization said it stands in solidarity with health workers at the facility in jabalia northern gaza,0
the israeli occupation forces today demolished six homes a sheep barn and a well and destroyed a water network and agricultural crops in masafer yatta south of hebron,0
the charity medical aid for palestinians said that after six weeks of israel s siege on the territory food is running out,0
the gaza strip based hamas terror group claims responsibility for the latest rocket attack from lebanon at the northern city of kiryat shmona in a statement hamas says its lebanon branch fired rockets,0
around people were arrested friday after a large group of demonstrators from a jewish group gathered in new york city s grand central terminal calling for a ceasefire in gaza according to police,0
incoming rocket sirens are sounding in the northern village of arab al aramshe on the lebanon border the area is the site of an anti tank guided missile attack on a military post earlier the idf hit several sites in lebanon in response,1
the gaza ministry of interior says an israeli air attack targeted an inhabited home near al yemen al saeed hospital in the middle of the refugee camp in northern gaza it also reported several injuries in a separate attack in jabalia,0
in japan uk foreign secretary james cleverly says in the short term it is inevitable that israel will need to have a security responsibility in gaza,1
any decent expert would testify that in order to execute such a palestinian military operation against the military might of the israeli occupation the leadership must have strategized for at least months if not a couple of years,0
internet access across the war torn nation of yemen collapsed and stayed down for hours with officials later blaming unannounced maintenance work for an outage that followed attacks by the country s houthi rebels on both israel and the us,0
the palestine red crescent society has said on x that israeli forces are obstructing our teams from accessing injuries within a private vehicle at the entrance of hebron specifically in ras al joura area,0
the israel defense forces says a number of mortars were fired from lebanon at northern israel earlier setting off sirens in shtula and even menahem the idf says it struck the launcher as well as a second rocket launcher in southern lebanon,0
israeli airstrikes on the gaza strip and army bullets in the west bank killed palestinians and wounded more than others today said the palestinian ministry of health,0
the white house has announced that israel has agreed to suspend fighting for four hours on a daily basis to allow for palestinian civilians to flee from northern gaza,0
the uk based rights group says it has determined that two israeli strikes last month that killed people in gaza were indiscriminate attacks or direct attacks on civilians or civilian objects which must be investigated as war crimes,0
president isaac herzog is meeting with representatives of the families of the hostages in gaza at his jerusalem residence,1
a palestinian minor was injured by live bullets tonight during confrontations with israeli forces in the town of ad dhahiriya south of hebron in the occupied west bank according to the palestine red crescent society prcs,0
hundreds of colonial israeli settlers attacked several shops tonight in the main street of huwara town in the northern west bank province of nablus according to local sources,0
idf spokesman rear adm daniel hagari says navy forces are continuing to search for additional possible terrorists that tried to infiltrate into israel from the gaza strip via the sea,1
national security minister and far right leader itamar ben gvir joins the criticism of prime minister benjamin netanyahu in the wake of the premier s now deleted post on x criticizing security chiefs over the october hamas invasion and massacres,0
a colonial israeli settler opened fire today on a palestinian vehicle on the jerusalem hebron in the south of the occupied west bank according to palestinian security sources no one was injured as a result of the attack,0
channel news reports that the families of nurit cooper and yocheved lifshitz have been notified of their release from hamas captivity both were abducted from their homes in kibbutz nir oz their husbands remain in gaza,1
after touring the northern border and in the south in the past two days defense minister yoav gallant says he was told by reserve soldiers that they are prepared to fight until victory and for as long as it takes,1
japanese foreign minister yoko kamikawa announces million in humanitarian aid for the gaza strip as she condemns attacks on civilians and promises japan s continued support for a two state solution to the conflict,0
a palestinian activist has shared a heart warming video capturing the efforts of fellow activists entertaining displaced children sheltering in schools in southern gaza from the midst of pain we make hope with the smile of our children he says,0
foreign minister eli cohen on tuesday has denounced un chief antonio guterres over his criticism of israel s gaza campaign recounting graphic details of hamas attacks on civilians and naming children kidnapped by the terror group mr,1
israeli troops raid the west bank home of a senior hamas leader and detain members of his family witnesses say,0
the palestinian embassy in cairo says it has been informed by egyptian authorities that palestinians stuck in the northern part of egypt s sinai peninsula which borders gaza can voluntarily return on friday,0
mohammed zaqout the director of gaza s al shifa hospital has rejected the israeli military s claims that it carried out saturday s evacuation of the facility at the request of hospital staff,0
the israeli military is set to allow significantly more humanitarian aid to enter the southern gaza strip from egypt,1
israel carried out an aerial attack targeting military sites in southern syria state news agency sana said citing a military source it said the attack caused some material losses,1
four palestinian civilians were killed today in an israeli airstrike that targeted a residential building west of gaza city bringing the death toll from the ongoing israeli aggression since yesterday to according to medical sources,0
the united arab emirates calls to end the violence and protect civilians in the ongoing war between israel and hamas,0
qatari foreign minister sheikh mohammed bin abdulrahman al thani called for an immediate ceasefire and the entry of humanitarian aid to gaza during his meeting today with us secretary of state antony blinken according to the gulf emirate,0
defense minister yoav gallant repeats in a press statement that israel will not stop the fighting against the hamas terror group in gaza until the at least captives held in the strip are returned,1
a qatari court hands down death sentences to eight indian employees of a qatari company on spying charges according to reports in indian media they were arrested on suspicion of spying for israel on qatar s military submarine program,1
a year old child was critically injured this evening by israeli army gunfire during confrontations with soldiers who raided the village of burin south of nablus,0
the israel defense forces says one of its tanks accidentally shelled an egyptian military post near kerem shalom in the tri border area with the gaza strip,1
mohammed zaqout the director general of hospitals in gaza says about patients have arrived in khan younis from the indonesian hospital in gaza s north,0
a number of palestinians were monday evening killed and others were injured following an israeli airstrike bombing of a residential building in the center of the city of khan yunis south of the gaza strip,0
the group reporters without borders says journalists have been killed in the war between israel and hamas terrorists accusing both sides of committing possible war crimes,0
medics at the tubas turkish hospital confirmed a short while ago that one palestinian had been killed during the raid in the northern occupied west bank the man was named as year old omar al shahrouri,0
after it was attacked by hamas terrorists on october the nahal oz surveillance control center has been reopened by the military temporarily at the re im army base,1
gaza friday november wafa several palestinian civilians were tragically killed and others were injured as a result of israeli airstrikes targeting multiple areas across the gaza strip according to local sources,0
the israel defense forces says troops have arrested wanted palestinians across the west bank including more than affiliated with hamas since the war in the gaza strip began on october,1
dozens of civilians were brutally murdered and many others sustained injuries today in a series of israeli airstrikes which targeted residential squares in various areas of the gaza strip,0
prime minister benjamin netanyahu quickly disavows heritage minister amichai eliyahu s contention that dropping a nuclear bomb on the gaza strip is a possibility amichai eliyahu s words are detached from reality netanyahu says in a statement,0
saeb ali al tanani has a tumour in his leg on wednesday suhaila his grandmother was with him as he wheeled himself down the corridor at makassed hospital in occupied east jerusalem,0
israel airstrikes today shelled two houses in beit hanoun and khan yunis cities to the north and south of the gaza strip respectively leaving at least palestinians killed mostly women and children,0
the multinational pharmaceutical company eli lilly has donated to israel s magen david adom rescue and emergency medical service three intensive care mobile units and two advanced monitoring systems the donation is valued at half a million dollars,1
police publish footage showing a palestinian terrorist being killed by members of the matilan border police counterterrorism unit near the shaar hanegev junction on the route highway in southern israel early this morning,1
dozens of democrats in the us house of representatives led by their jewish colleagues are calling on the biden administration to pressure israel to allow more fuel into gaza us media outlet axios reports,1
a young palestinian man sustained injuries tonight when israeli occupation forces opened fire on his vehicle in the town of ni lin located west of ramallah in the occupied west bank according to local sources,0
during an ordered evacuation of northern gaza israeli troops bombed sites in the south including areas it had declared as safe,0
the hezbollah terror group claims to have attacked israeli military sites along the lebanon border today it says the simultaneous attack this afternoon was carried out with missiles mortars and other light arms,0
us late night host jimmy kimmel showed his support for israel the other night discussing in his opening monologue the horrific news over the weekend,1
david satterfield us special envoy for humanitarian affairs in the middle east tells the lebanese broadcaster al jadeed that washington is against the displacement of palestinians from gaza,0
a number of palestinian civilians were murdered and others injured tonight in a series of israeli airstrikes in jabalia north of the gaza strip and in khan yunis in the south of the territory according to local sources,0
russian president vladimir putin accuses ukraine and western special services of instigating the anti israel riot at dagestan s makhachkala airport last night but calls on russian security services to maintain order,1
touring an israeli air force base prime minister benjamin netanyahu reiterates that israel will not agree to a ceasefire in gaza unless the hamas terror group releases the hostages it is holding take this word ceasefire out of the lexicon,1
president isaac herzog reveals in an interview with sky news that hamas had planned to use cyanide agents against israeli civilians,0
israeli colonists tonight attacked palestinian commuters driving near the entrance of the village of burqa east of ramallah and attempted to carry out an attack against the village said security sources,0
a senior adviser to iran s supreme leader ayatollah ali khamenei expresses support for an attack hamas launched against israel calling it a proud operation,1
dutch authorities have briefly detained activists who occupied the entrance to the international criminal court on monday denouncing prime minister benjamin netanyahu for israel s actions during the war with hamas,0
the hamas rocket barrage on central israel a short while ago has wounded at least nine civilians medics say the magen david adom ambulance service said in rishon lezion medics treated two men aged who were seriously hurt,0
ismail thawabta spokesman for the gaza government s media office says more than people have been killed in the bombarded enclave,0
the israel defense forces says dozens of fighter jets are carrying out strikes against sites belonging to the hamas terror group in the gaza strip the idf says it will provide further information soon,1
defense minister yoav gallant has approved a widescale call up of reservists following a surprise attack by hamas on israel his office says the number of reservists to be called up will depend on the military s needs,1
israeli occupation forces opened fire this evening on a vehicle and arrested its driver in the town of ya bad southwest of jenin in the occupied west bank according to palestinian security and local sources,1
the yemen based group says it has launched drones at targets inside israel according to a statement from its armed forces broadcast by the tv channel al masirah,0
six palestinians were killed and many others were injured earlier on wednesday when an israeli occupation army drone bombed a house and gatherings of civilians in the refugee camp of tulkarm north of the occupied west bank,0
prime minister benjamin netanyahu has wrapped up a meeting with defense minister yoav gallant and other defense chiefs his office says releasing a picture of him speaking to mossad head david barnea and shin bet chief ronen bar,1
a palestinian was injured by live bullets at the hands of an israeli colonist in shufa at refugee camp northeast of occupied jerusalem said local sources,0
the ministry of health announced today that a young man died of wounds he sustained after being shot by the israeli occupation army about a week ago in jenin the ministry identified the young man as jamal masharqa from jenin refugee camp,0
a young palestinian man was shot dead and seven others sustained injuries last night during confrontations with israeli forces when they stormed the town of tammun in the northern west bank province of tubas according to medical sources,0
yad vashem is converting part of its facility to a school in order to create a learning environment for evacuees from gaza area communities the holocaust memorial museum announces the students won t be focusing on holocaust studies,1
the lebanese group has claimed responsibility for an attack that targeted a house used by israeli soldiers in metulla in northern israel,0
fresh sirens are sounding in ashkelon and other areas north of the gaza strip,0
shani louk a german israeli woman kidnapped by hamas gunmen during the october attack and taken to gaza has been found dead the israeli ministry of foreign affairs has said,0
philippine president ferdinand marcos jr said filipinos have fled the gaza strip into egypt through the rafah border crossing,0
at least people have been killed in the gaza strip since the start of the israel hmas war including children the hamas controlled health ministry says the ministry says another people had been wounded,0
prime minister benjamin netanyahu opens this evening s press conference by commemorating the soldiers killed fighting hamas terrorists in the ground invasion of gaza,1
the hamas terror group s military wing the izz ad din al qassam brigades claims to have clashed with israeli troops several times in gaza city s tel al hawa neighborhood in the last few hours,0
labor party leader merav michaeli says the government is failing to lead israel during its toughest moments and demands that prime minister benjamin netanyahu be ousted from office immediately,0
suspected drone infiltrations sirens are activated in the southern city of sderot and neighboring towns,0
the staffers have held a vigil in front of the us capitol building saying in a statement that they are no longer comfortable staying silent our constituents are pleading for a ceasefire and we are the staffers answering their calls they said,0
forensic examiners have identified the remains of peace activist vivian silver confirming she was killed during the october massacres in southern israel by hamas led terrorists,1
the israeli military attacked hundreds of hamas targets overnight israel defense forces spokesperson rear adm daniel hagari said at a briefing tuesday morning,1
the israeli army said it killed a senior hamas weapons developer in the gaza strip,1
reem alsalem the un special rapporteur on violence against women and girls detailed the outsized burden women in gaza have faced since the war began,0
the us senior advisor for global energy security amos hochstein has arrived in beirut the timing of hockstein s surprise visit to lebanon comes between two speeches by the secretary general of hezbollah sayyed hassan nasrallah,0
colonial israeli settlers seized an agricultural tractor today preventing palestinian farmers from accessing their lands for olive harvesting in the masafer yatta region south of hebron in the occupied west bank according to local sources,0
an unnamed security official says that the israeli operation at al shifa hospital will be widened if necessary and implied that the military knows exactly what it is going to find there,1
the palestinian authority health ministry says three palestinians were killed in overnight clashes with idf troops in askar bayt rima and tammun,0
turkish president recep tayyip erdogan tells palestinians to stop their harassment of israelis and for both sides to respect the rules of war as fighting raged in gaza,0
palestinian terrorists in gaza fire a large rocket barrage at central israel several loud explosions are heard apparently caused by iron dome interceptions,0
a total of mosques have been destroyed by israeli air raids across gaza since october and an additional have sustained damage according to government media in the besieged palestinian enclave,0
the statement comes shortly after israel s military said rockets had been fired into northern israel from lebanon hamas s armed wing had previously said it launched rockets from lebanon towards israel,0
terror groups have fired more than rockets into israel since october says a government representative,1
incoming rocket sirens are sounding in the northern communities of avivim and yir on close to the lebanon border,0
us secretary of state antony blinken is currently meeting prime minister benjamin netanyahu at the kirya military headquarters in tel aviv the prime minister s office says,1
us defense secretary lloyd austin said tuesday he has repeatedly made clear to israeli leaders that they must ensure the protection of palestinian civilians now we fully understand that hamas does not represent the palestinian people,1
us president joe biden and his aides reportedly believe that benjamin netanyahu s days as israel s prime minister are numbered in the fallout of the war in gaza,0
there have been nearly wounded in the ongoing hamas attack according to statements from various hospitals at least two dozen are seriously or critically wounded in addition at least six people have been confirmed killed,0
eight hospitals have been bombed by israeli forces in the past three days and hospitals have been out of service since october gaza s government media office said,0
israeli airstrikes and artillery bombardment tonight targeted the entrances and the power generators of the indonesian hospital in the jabalia refugee camp northern gaza resulting in severe damage and a complete power outage across the hospital,0
two palestinian youths were monday evening killed by israeli forces during a military raid in the refugee camp of tulkarm east of the occupied west bank city of tulkarm according to a statement by the ministry of health,0
marah bakeer is one of palestinian women and children who were released from israeli prisons on friday in exchange for hamas captives under a qatar mediated deal that includes a four day truce in gaza,0
israeli air strikes are now targeting solar panels used by hospitals and civilians in the gaza strip our correspondent hani mahmoud has just reported,1
incoming rocket sirens are sounding in the southernmost city of eilat the israel defense forces says it is investigating the cause of the alert,0
us secretary of state antony blinken begins his press remarks in tel aviv by reiterating that as long as the united states stands israel will not stand alone,1
a palestinian minor was sunday injured by an israeli live bullet shrapnel during confrontations with the israeli occupation forces that broke out in the eastern area of the town of azzun east of the occupied west bank city of qalqilya,0
waving flags and banners thousands of pro palestinian protesters march through the streets of madrid to demand an immediate ceasefire in the war between israel and hamas,0
prime minister benjamin netanyahu again pushes off a question about his personal responsibility for the failures that led to the october hamas massacres saying this question will be dealt with after the war,1
israeli occupation forces injured four palestinians this afternoon and arrested another during a military raid into dheisha refugee camp in the southern west bank city of bethlehem according to local sources,0
hani mahmoud reporting from khan younis in southern gaza says the sense of happiness that people feel now that the fighting has paused is tinged with disappointment that israeli officials plan to resume their war,0
the idf says a siren that sounded minutes ago near the northern border town of aramshe was a false alarm it does not say what triggered the alert,0
one of the rockets fired from gaza in a recent barrage impacts near ben gurion international airport footage posted to social media shows smoke billowing from an open field in the area,0
democratic senator john fetterman of pennsylvania covers the wall of his office with posters of the israelis taken hostage by hamas in the gaza ruling terror group s october attack,1
hezbollah terror group leader hassan nasrallah in a lengthy address says global demonstrations against israel over the war in gaza are putting pressure on the jewish state and allies,0
brunei indonesia and malaysia have called for an immediate durable and sustained humanitarian truce leading to the cessation of hostilities in the gaza strip reuters news agency reports,0
the idf s home front command releases instructions telling israelis to make sure they are stocked up on food and water for at least hours with war on the horizon,1
a large number of people are dead and wounded after an israeli strike targeted al falah school which houses thousands of displaced people in the zeitoun neighborhood south of gaza city we will bring you more updates as information comes in,0
